"wccSubjectCode","wccCourseNumber","wccCourseName","concordiaSubjectCode","concordiaCourseNumber","concordiaCourseName"
"SUR","170","Surgical Pharmacology","TRAN","1","Transfer Credits"
"SUR","180","Surgical Procedures I","TRAN","1","Transfer Credits"
"SUR","181","Surgical Procedures I Lab","TRAN","1","Transfer Credits"
"SUR","210","Surgical Procedures II","TRAN","1","Transfer Credits"
"SUR","211","Surgical Procedures II Lab","TRAN","1","Transfer Credits"
"SUR","231","Clinical Education I","TRAN","1","Transfer Credits"
"SUR","241","Clinical Education II","TRAN","1","Transfer Credits"
"SUR","250","Surgical Tech. Seminar","TRAN","1","Transfer Credits"
"SUR","270","Biomed & MIS","TRAN","1","Transfer Credits"
"VID","105","Foundations in Digital Video I","TRAN","1","Transfer Credits"
"WAF","105","Intro to Welding Processes","TRAN","1","Transfer Credits"
"YOG","101","Yoga I","TRAN","119","Physical Development Core"
"YOG","102","Philosophy & Practice of Yoga","TRAN","1","Transfer Credits"
