"wccSubjectCode","wccCourseNumber","wccCourseName","umSubjectCode","umCourseNumber","umCourseName"
"PSY","207","ADOLESCENT PSYCHOLOGY","PSYCH","201X","Departmental"
"PSY","209","PSYCHOLOGY OF ADJUSTMENT","PSYCH","201X","Departmental"
"PSY","210","Behavior Modification","PSYCH","201X","Departmental"
"PSY","220","Human Development & Learning","PSYCH","201X","Departmental"
"PSY","232","PSYCHOLOGY OF WOMEN","PSYCH","201X","Departmental"
"PSY","240","Drugs, Society & Human Behavio","PSYCH","201X","Departmental"
"PSY","251","Education of Except Children","EDUC","201X","Departmental"
"PSY","257","Abnormal Psychology","PSYCH","270","Abnormal Psychology"
"PSY","260","Intro to Human Sexuality","PSYCH","201X","Departmental"
"PSY","270","Social Psychology & Global App","PSYCH","280","Intro Social Psych"
"PSY","273","PSYCHOLOGY OF PARENTHOOD","PSYCH","201X","Departmental"
"PSY","296","Neuropsychology of Addiction","PSYCH","201X","Departmental"
"PSY","297","Assess of Co-Occur Disorders","PSYCH","201X","Departmental"
"PSY","298","Treatment of Addiction","PSYCH","201X","Departmental"
"SCI","101","The Nature of Science","INTERNS","101X","Interdepartmental Nat Sci"
"SCI","103","Process&Prof in Sci","INTERNS","101X","Interdepartmental Nat Sci"
"SOC","100","Principles of Sociology","SOC","100","Intro to Sociology"
"SOC","155","HIP-HOP CULTURE","SOC","101X","Departmental"
"SOC","202","Criminology","SOC","368","Criminology"
"SOC","205","Race & Ethnic Relations","SOC","303","Race&Ethnic"
"SOC","206","Introduction to Gender Studies","SOC","201X","Departmental"
"SOC","207","Social Problems","SOC","233","Social Problems"
"SOC","216","Gender and Sexuality","SOC","201X","Departmental"
"SOC","220","Group Dynamics & Counseling","SOC","101X","Departmental"
"SOC","225","Family Social Work","SOC","201X","Departmental"
"SOC","230","Marriage and Family","SOC","344","Soc of Families"
"SOC","250","Juvenile Delinquency","SOC","201X","Departmental"
"SPN","101","Beg Conversational Spanish I","SPANISH","101X","Departmental"
"SPN","109","BEG CONVERSATIONAL SPAN I","SPANISH","101X","Departmental"
"SPN","110","BEG CONVERSATIONAL SPAN II","SPANISH","101X","Departmental"
"SPN","111","First Year Spanish I","SPANISH","101X","Departmental"
"SPN","117","SPANISH IMMERSION I","SPANISH","101X","Departmental"
"SPN","119","Spanish Language Adventures","SPANISH","101X","Departmental"
"SPN","122","First Year Spanish II","SPANISH","101X","Departmental"
"SPN","123","SPANISH LAB II","SPANISH","101X","Departmental"
"SPN","201","Second Year Spanish I","SPANISH","201X","Departmental"
"SPN","202","Second Year Spanish II","SPANISH","232","Second Year Span"
"SPN","205","2nd Year Spanish for Business","SPANISH","201X","Departmental"
"SPN","211","Inter Conversational Spanish","SPANISH","201X","Departmental"
"SPN","213","SECOND YEAR SPANISH I","SPANISH","201X","Departmental"
"SPN","217","SPANISH IMMERSION II","SPANISH","201X","Departmental"
"SPN","224","Second Year Spanish II - Lit","SPANISH","201X","Departmental"
"VID","101","VIDEO PRODUCTION","FTVM","101X","Departmental"
"VID","105","Foundations in Digital Video I","FTVM","101X","Departmental"
"VID","110","DIGITAL VIDEO EDITING I","FTVM","101X","Departmental"
"VID","125","Foundations Digital Video II","FTVM","290","Intro to Media Prod"
"VID","200","Lighting for Video","FTVM","201X","Departmental"
"VID","203","Commercial Video Production","FTVM","201X","Departmental"
"VID","210","Screenplays","FTVM","201X","Departmental"
"VID","220","Audio for Digital Video","FTVM","101X","Departmental"
"VID","230","Directing for Video Production","FTVM","201X","Departmental"
"VID","240","Digital Cinematography","FTVM","392","Cinematography"
"VID","250","Advanced Editing","FTVM","201X","Departmental"
"VID","255","Green Screen I","FTVM","201X","Departmental"
"VID","270","Documentary Video Production I","FTVM","301X","Departmental"
"VID","275","Documentary Video Prod II","FTVM","201X","Departmental"
"VID","276","Video Graphics I","FTVM","201X","Departmental"
"VID","295","Portfolio and Project Seminar","FTVM","201X","Departmental"
"WEB","115","Intro to Interface Design","ARTDES","101X","Departmental"
"WEB","215","Intermediate Interface Design","ARTDES","201X","Departmental"
